Level,Hierarchical_structure,Code,Class_title,Class_definition
4,Subclass (Field),RDF1050599,"Oceanography, n.e.c.","This subclass comprises research and experimental development in oceanography, n.e.c."
3,Class,RDF10506,Environmental geoscience,This class comprises research and experimental development in environmental geoscience.
4,Subclass (Field),RDF1050601,Geomorphology,This subclass comprises research and experimental development in geomorphology.
4,Subclass (Field),RDF1050602,Landscape evolution,This subclass comprises research and experimental development in landscape evolution.
4,Subclass (Field),RDF1050603,Natural hazards,This subclass comprises research and experimental development in natural hazards.
4,Subclass (Field),RDF1050604,Paleo-environmental sciences,This subclass comprises research and experimental development in paleo-environmental sciences.
4,Subclass (Field),RDF1050605,Surface processes,This subclass comprises research and experimental development in surface processes.
4,Subclass (Field),RDF1050606,Environmental monitoring,This subclass comprises research and experimental development in environmental monitoring.
4,Subclass (Field),RDF1050607,Geomatics sciences (except geomatic engineering),This subclass comprises research and experimental development in geomatics sciences (except geomatic engineering).
4,Subclass (Field),RDF1050699,"Environmental geoscience, n.e.c.","This subclass comprises research and experimental development in environmental geoscience, n.e.c."
3,Class,RDF10507,Hydrology,This class comprises research and experimental development in hydrology.
4,Subclass (Field),RDF1050701,Hydrometeorology,This subclass comprises research and experimental development in hydrometeorology.
4,Subclass (Field),RDF1050702,Physical and catchment hydrology,This subclass comprises research and experimental development in physical and catchment hydrology.
4,Subclass (Field),RDF1050703,Surface water hydrology,This subclass comprises research and experimental development in surface water hydrology.
4,Subclass (Field),RDF1050704,Soil hydrology,This subclass comprises research and experimental development in soil hydrology.
4,Subclass (Field),RDF1050705,Hydrogeology,This subclass comprises research and experimental development in hydrogeology.
4,Subclass (Field),RDF1050706,Water quality,This subclass comprises research and experimental development in water quality.
4,Subclass (Field),RDF1050707,Limnology,This subclass comprises research and experimental development in limnology.
4,Subclass (Field),RDF1050799,"Hydrology, n.e.c.","This subclass comprises research and experimental development in hydrology, n.e.c."
3,Class,RDF10508,Cryosphere processes,This class comprises research and experimental development in cryosphere processes.
4,Subclass (Field),RDF1050801,Physics of snow and ice,This subclass comprises research and experimental development in physics of snow and ice.
4,Subclass (Field),RDF1050802,Glaciology,This subclass comprises research and experimental development in glaciology.
4,Subclass (Field),RDF1050803,Permafrost,This subclass comprises research and experimental development in permafrost.
4,Subclass (Field),RDF1050899,"Cryosphere processes, n.e.c.","This subclass comprises research and experimental development in cryosphere processes, n.e.c."
3,Class,RDF10509,Geomatics and earth systems observations,This class comprises research and experimental development in geomatics and earth systems observations.
4,Subclass (Field),RDF1050901,Geographic information system (GIS and GPS) applications,This subclass comprises research and experimental development in geographic information system (GIS and GPS) applications.
4,Subclass (Field),RDF1050902,Remote sensing applications (except remote sensing in geomatics and photogrammetry),This subclass comprises research and experimental development in remote sensing applications (except remote sensing in geomatics and photogrammetry).
4,Subclass (Field),RDF1050999,"Geomatics and earth systems observations, n.e.c.","This subclass comprises research and experimental development in geomatics and earth systems observations, n.e.c."
3,Class,RDF10510,Natural environment sciences,This class comprises research and experimental development in natural environment sciences.
4,Subclass (Field),RDF1051001,Indigenous peoples environmental knowledge,This subclass comprises research and experimental development in indigenous peoples environmental knowledge.
4,Subclass (Field),RDF1051002,Biodiversity,This subclass comprises research and experimental development in biodiversity.
4,Subclass (Field),RDF1051003,Environmental impact assessment,This subclass comprises research and experimental development in environmental impact assessment.
4,Subclass (Field),RDF1051004,Natural (biophysical) environment management,This subclass comprises research and experimental development in natural (biophysical) environment management.
4,Subclass (Field),RDF1051005,Natural environment sustainability studies,This subclass comprises research and experimental development in natural environment sustainability studies.
4,Subclass (Field),RDF1051006,Ecological restoration (except bioremediation),This subclass comprises research and experimental development in ecological restoration (except bioremediation).
4,Subclass (Field),RDF1051007,Natural resource management,This subclass comprises research and experimental development in natural resource management.
4,Subclass (Field),RDF1051008,Wildlife and habitat management,This subclass comprises research and experimental development in wildlife and habitat management.
4,Subclass (Field),RDF1051009,Quantitative methods for environmental sciences,This subclass comprises research and experimental development in quantitative methods for environmental sciences.
4,Subclass (Field),RDF1051010,Ecotoxicology,This subclass comprises research and experimental development in ecotoxicology.
4,Subclass (Field),RDF1051099,"Natural environment sciences, n.e.c.","This subclass comprises research and experimental development in natural environment sciences, n.e.c."
3,Class,RDF10511,Soil sciences,This class comprises research and experimental development in soil sciences.
4,Subclass (Field),RDF1051101,Soil physics,This subclass comprises research and experimental development in soil physics.
4,Subclass (Field),RDF1051102,Soil chemistry (except carbon sequestration science),This subclass comprises research and experimental development in soil chemistry (except carbon sequestration science).
4,Subclass (Field),RDF1051103,Soil biology,This subclass comprises research and experimental development in soil biology.
4,Subclass (Field),RDF1051104,Soil fertility,This subclass comprises research and experimental development in soil fertility.
4,Subclass (Field),RDF1051105,Soil degradation,This subclass comprises research and experimental development in soil degradation.
4,Subclass (Field),RDF1051106,Soil biogeochemistry and microbiology,This subclass comprises research and experimental development in soil biogeochemistry and microbiology.
4,Subclass (Field),RDF1051107,Soil-root interactions,This subclass comprises research and experimental development in soil-root interactions.
4,Subclass (Field),RDF1051108,Carbon sequestration science,This subclass comprises research and experimental development in carbon sequestration science.
4,Subclass (Field),RDF1051109,Soil mineralogy and micromorphology,This subclass comprises research and experimental development in soil mineralogy and micromorphology.
4,Subclass (Field),RDF1051199,"Soil sciences, n.e.c.","This subclass comprises research and experimental development in soil sciences, n.e.c."
3,Class,RDF10599,Other earth and related environmental sciences,This class comprises research and experimental development in other earth and related environmental sciences.
4,Subclass (Field),RDF1059901,Earth system sciences,This subclass comprises research and experimental development in earth system sciences.
4,Subclass (Field),RDF1059999,"Other earth and related environmental sciences, n.e.c.","This subclass comprises research and experimental development in other earth and related environmental sciences, n.e.c."
2,Group,RDF106,Biological sciences,This group comprises research and experimental development in biological sciences.
3,Class,RDF10601,Biochemistry,This class comprises research and experimental development in biochemistry.
4,Subclass (Field),RDF1060101,Analytical biochemistry,This subclass comprises research and experimental development in analytical biochemistry.
4,Subclass (Field),RDF1060102,"Enzymes (including kinetics and mechanisms, and biocatalyst)","This subclass comprises research and experimental development in enzymes (including kinetics and mechanisms, and biocatalyst)."
4,Subclass (Field),RDF1060103,Proteomics,This subclass comprises research and experimental development in proteomics.
4,Subclass (Field),RDF1060104,Intramolecular interactions,This subclass comprises research and experimental development in intramolecular interactions.
4,Subclass (Field),RDF1060105,Metabolomics,This subclass comprises research and experimental development in metabolomics.
4,Subclass (Field),RDF1060106,Nucleic acids studies,This subclass comprises research and experimental development in nucleic acids studies.
4,Subclass (Field),RDF1060107,Lipid biology (including lipidomics),This subclass comprises research and experimental development in lipid biology (including lipidomics).
4,Subclass (Field),RDF1060108,Glycomics and glycobiology,This subclass comprises research and experimental development in glycomics and glycobiology.
4,Subclass (Field),RDF1060109,Chemical genetics,This subclass comprises research and experimental development in chemical genetics.
4,Subclass (Field),RDF1060110,Protein and gene networks,This subclass comprises research and experimental development in protein and gene networks.
4,Subclass (Field),RDF1060111,Synthetic biology,This subclass comprises research and experimental development in synthetic biology.
4,Subclass (Field),RDF1060112,Systems biology,This subclass comprises research and experimental development in systems biology.
4,Subclass (Field),RDF1060113,Forensic biology,This subclass comprises research and experimental development in forensic biology.
4,Subclass (Field),RDF1060199,"Biochemistry, n.e.c.","This subclass comprises research and experimental development in biochemistry, n.e.c."
3,Class,RDF10602,Cell biology,This class comprises research and experimental development in cell biology.
4,Subclass (Field),RDF1060201,"Cell differentiation, proliferation and death","This subclass comprises research and experimental development in cell differentiation, proliferation and death."
4,Subclass (Field),RDF1060202,Cell metabolism,This subclass comprises research and experimental development in cell metabolism.
4,Subclass (Field),RDF1060203,"Cellular interactions (including adhesion, matrix and cell wall)","This subclass comprises research and experimental development in cellular interactions (including adhesion, matrix and cell wall)."
4,Subclass (Field),RDF1060204,Protein trafficking in cell biology,This subclass comprises research and experimental development in protein trafficking in cell biology.
4,Subclass (Field),RDF1060205,Cell and nuclear division,This subclass comprises research and experimental development in cell and nuclear division.
4,Subclass (Field),RDF1060206,"Intracellular signaling, signal transduction, receptor and membrane biology","This subclass comprises research and experimental development in intracellular signaling, signal transduction, receptor and membrane biology."
4,Subclass (Field),RDF1060207,Structural biology (including macromolecular modelling),This subclass comprises research and experimental development in structural biology (including macromolecular modelling).
4,Subclass (Field),RDF1060208,Computational cell biology,This subclass comprises research and experimental development in computational cell biology.
4,Subclass (Field),RDF1060209,Human biophysics,This subclass comprises research and experimental development in human biophysics.
4,Subclass (Field),RDF1060210,Cytoskeleton studies,This subclass comprises research and experimental development in cytoskeleton studies.
4,Subclass (Field),RDF1060211,Organelle function,This subclass comprises research and experimental development in organelle function.
4,Subclass (Field),RDF1060299,"Cell biology, n.e.c.","This subclass comprises research and experimental development in cell biology, n.e.c."
3,Class,RDF10603,Ecology (except applications),This class comprises research and experimental development in ecology (except applications).
4,Subclass (Field),RDF1060301,Behavioural ecology,This subclass comprises research and experimental development in behavioural ecology.
4,Subclass (Field),RDF1060302,Community ecology (except invasive species ecology),This subclass comprises research and experimental development in community ecology (except invasive species ecology).
4,Subclass (Field),RDF1060303,Ecological physiology (except plant ecology),This subclass comprises research and experimental development in ecological physiology (except plant ecology).
4,Subclass (Field),RDF1060304,Estuarine and freshwater ecology,This subclass comprises research and experimental development in estuarine and freshwater ecology.
4,Subclass (Field),RDF1060305,Marine ecology (including marine ichthyology),This subclass comprises research and experimental development in marine ecology (including marine ichthyology).
4,Subclass (Field),RDF1060306,Paleoecology,This subclass comprises research and experimental development in paleoecology.
4,Subclass (Field),RDF1060307,Population ecology,This subclass comprises research and experimental development in population ecology.
4,Subclass (Field),RDF1060308,Terrestrial ecology,This subclass comprises research and experimental development in terrestrial ecology.
4,Subclass (Field),RDF1060309,Plant physiological ecology,This subclass comprises research and experimental development in plant physiological ecology.
4,Subclass (Field),RDF1060310,Evolutionary ecology,This subclass comprises research and experimental development in evolutionary ecology.
4,Subclass (Field),RDF1060311,Ecological mathematical and statistical models,This subclass comprises research and experimental development in ecological mathematical and statistical models.
4,Subclass (Field),RDF1060312,Environmental metagenomics,This subclass comprises research and experimental development in environmental metagenomics.
4,Subclass (Field),RDF1060313,Plant-animal interactions,This subclass comprises research and experimental development in plant-animal interactions.
4,Subclass (Field),RDF1060399,"Ecology, n.e.c.","This subclass comprises research and experimental development in ecology, n.e.c."
3,Class,RDF10604,Ecological applications,This class comprises research and experimental development in ecological applications.
4,Subclass (Field),RDF1060401,Ecological impacts of climate change,This subclass comprises research and experimental development in ecological impacts of climate change.
4,Subclass (Field),RDF1060402,Ecosystem function,This subclass comprises research and experimental development in ecosystem function.
4,Subclass (Field),RDF1060403,Invasive species ecology,This subclass comprises research and experimental development in invasive species ecology.
4,Subclass (Field),RDF1060404,Landscape ecology,This subclass comprises research and experimental development in landscape ecology.
4,Subclass (Field),RDF1060405,Global change biology,This subclass comprises research and experimental development in global change biology.
4,Subclass (Field),RDF1060499,"Ecological applications, n.e.c.","This subclass comprises research and experimental development in ecological applications, n.e.c."
3,Class,RDF10605,Biological evolution,This class comprises research and experimental development in biological evolution.
4,Subclass (Field),RDF1060501,Systematics and taxonomy (except speciation),This subclass comprises research and experimental development in systematics and taxonomy (except speciation).
4,Subclass (Field),RDF1060502,Biogeography and phylogeography,This subclass comprises research and experimental development in biogeography and phylogeography.
4,Subclass (Field),RDF1060503,Biological adaptation,This subclass comprises research and experimental development in biological adaptation.
4,Subclass (Field),RDF1060504,Ethology and sociobiology,This subclass comprises research and experimental development in ethology and sociobiology.
4,Subclass (Field),RDF1060505,Evolution of developmental systems,This subclass comprises research and experimental development in evolution of developmental systems.
4,Subclass (Field),RDF1060506,Evolutionary impacts of climate change,This subclass comprises research and experimental development in evolutionary impacts of climate change.
4,Subclass (Field),RDF1060507,Life histories,This subclass comprises research and experimental development in life histories.
4,Subclass (Field),RDF1060508,Phylogeny and comparative analysis,This subclass comprises research and experimental development in phylogeny and comparative analysis.
4,Subclass (Field),RDF1060509,Speciation (evolutionary processes),This subclass comprises research and experimental development in speciation (evolutionary processes).
4,Subclass (Field),RDF1060510,Natural selection and sexual selection,This subclass comprises research and experimental development in natural selection and sexual selection.
4,Subclass (Field),RDF1060511,Evolutionary mathematical and statistical models,This subclass comprises research and experimental development in evolutionary mathematical and statistical models.
4,Subclass (Field),RDF1060512,Macroevolution,This subclass comprises research and experimental development in macroevolution.
4,Subclass (Field),RDF1060599,"Biological evolution, n.e.c.","This subclass comprises research and experimental development in biological evolution, n.e.c."
3,Class,RDF10606,Genetics,This class comprises research and experimental development in genetics.
4,Subclass (Field),RDF1060601,Anthropological genetics,This subclass comprises research and experimental development in anthropological genetics.
4,Subclass (Field),RDF1060602,Developmental genetics (including sex determination),This subclass comprises research and experimental development in developmental genetics (including sex determination).
4,Subclass (Field),RDF1060603,Conservation genetics,This subclass comprises research and experimental development in conservation genetics.
4,Subclass (Field),RDF1060604,Molecular evolution,This subclass comprises research and experimental development in molecular evolution.
4,Subclass (Field),RDF1060605,Epigenetics and epigenomics,This subclass comprises research and experimental development in epigenetics and epigenomics.
4,Subclass (Field),RDF1060606,Transcriptomics,This subclass comprises research and experimental development in transcriptomics.
4,Subclass (Field),RDF1060607,Gene regulation and expression,This subclass comprises research and experimental development in gene regulation and expression.
4,Subclass (Field),RDF1060608,Genome structure and stability,This subclass comprises research and experimental development in genome structure and stability.
4,Subclass (Field),RDF1060609,Genomics,This subclass comprises research and experimental development in genomics.
4,Subclass (Field),RDF1060610,Somatic mutations,This subclass comprises research and experimental development in somatic mutations.
4,Subclass (Field),RDF1060611,"Population, ecological and evolutionary genetics","This subclass comprises research and experimental development in population, ecological and evolutionary genetics."
4,Subclass (Field),RDF1060612,Quantitative genetics (including disease and trait mapping genetics),This subclass comprises research and experimental development in quantitative genetics (including disease and trait mapping genetics).
4,Subclass (Field),RDF1060613,Statistical genetics,This subclass comprises research and experimental development in statistical genetics.
4,Subclass (Field),RDF1060614,Molecular genetics,This subclass comprises research and experimental development in molecular genetics.
4,Subclass (Field),RDF1060615,Paleogenomics,This subclass comprises research and experimental development in paleogenomics.
4,Subclass (Field),RDF1060616,Genetics engineering,This subclass comprises research and experimental development in genetics engineering.
4,Subclass (Field),RDF1060699,"Genetics, n.e.c.","This subclass comprises research and experimental development in genetics, n.e.c."
3,Class,RDF10607,Microbiology,This class comprises research and experimental development in microbiology.
4,Subclass (Field),RDF1060701,Parasitology,This subclass comprises research and experimental development in parasitology.
4,Subclass (Field),RDF1060702,Bacteriology,This subclass comprises research and experimental development in bacteriology.
4,Subclass (Field),RDF1060703,Microbial genetics,This subclass comprises research and experimental development in microbial genetics.
4,Subclass (Field),RDF1060704,Microbial ecology and evolution,This subclass comprises research and experimental development in microbial ecology and evolution.
4,Subclass (Field),RDF1060705,Microbial physiology,This subclass comprises research and experimental development in microbial physiology.
4,Subclass (Field),RDF1060706,Mycology,This subclass comprises research and experimental development in mycology.
4,Subclass (Field),RDF1060707,Virology,This subclass comprises research and experimental development in virology.
4,Subclass (Field),RDF1060708,Microbiome,This subclass comprises research and experimental development in microbiome.
4,Subclass (Field),RDF1060709,Environmental microbiology (including air microbiology),This subclass comprises research and experimental development in environmental microbiology (including air microbiology).
4,Subclass (Field),RDF1060799,"Microbiology, n.e.c.","This subclass comprises research and experimental development in microbiology, n.e.c."
3,Class,RDF10608,Animal physiology,This class comprises research and experimental development in animal physiology.
4,Subclass (Field),RDF1060801,"Animal physiology, biophysics","This subclass comprises research and experimental development in animal physiology, biophysics."
4,Subclass (Field),RDF1060802,"Animal physiology, endocrinology","This subclass comprises research and experimental development in animal physiology, endocrinology."
4,Subclass (Field),RDF1060803,"Animal physiology, metabolism","This subclass comprises research and experimental development in animal physiology, metabolism."
4,Subclass (Field),RDF1060804,"Animal physiology, circulation","This subclass comprises research and experimental development in animal physiology, circulation."
4,Subclass (Field),RDF1060805,"Animal physiology, respiration","This subclass comprises research and experimental development in animal physiology, respiration."
4,Subclass (Field),RDF1060806,"Animal physiology, environmental stress","This subclass comprises research and experimental development in animal physiology, environmental stress."
4,Subclass (Field),RDF1060807,"Animal physiology, digestion","This subclass comprises research and experimental development in animal physiology, digestion."
4,Subclass (Field),RDF1060808,"Animal physiology, exercise","This subclass comprises research and experimental development in animal physiology, exercise."
4,Subclass (Field),RDF1060809,"Animal physiology, thermoregulation","This subclass comprises research and experimental development in animal physiology, thermoregulation."
4,Subclass (Field),RDF1060810,"Animal physiology, osmoregulation","This subclass comprises research and experimental development in animal physiology, osmoregulation."
4,Subclass (Field),RDF1060811,"Animal physiology, toxicology","This subclass comprises research and experimental development in animal physiology, toxicology."
4,Subclass (Field),RDF1060899,"Animal physiology, n.e.c.","This subclass comprises research and experimental development in animal physiology, n.e.c."
3,Class,RDF10609,Plant biology,This class comprises research and experimental development in plant biology.
4,Subclass (Field),RDF1060901,Phycology (including marine grasses),This subclass comprises research and experimental development in phycology (including marine grasses).
4,Subclass (Field),RDF1060902,Plant cell and molecular biology,This subclass comprises research and experimental development in plant cell and molecular biology.
4,Subclass (Field),RDF1060903,Plant developmental and reproductive biology,This subclass comprises research and experimental development in plant developmental and reproductive biology.
4,Subclass (Field),RDF1060904,Plant pathology,This subclass comprises research and experimental development in plant pathology.
4,Subclass (Field),RDF1060905,Plant physiology,This subclass comprises research and experimental development in plant physiology.
4,Subclass (Field),RDF1060906,Plant microbiota,This subclass comprises research and experimental development in plant microbiota.
4,Subclass (Field),RDF1060907,Molecular plant and microbe interactions (including host pathogen interactions),This subclass comprises research and experimental development in molecular plant and microbe interactions (including host pathogen interactions).
4,Subclass (Field),RDF1060908,Plant stress biology,This subclass comprises research and experimental development in plant stress biology.
4,Subclass (Field),RDF1060909,Plant hormone biology,This subclass comprises research and experimental development in plant hormone biology.
4,Subclass (Field),RDF1060910,Plant nutrition and metabolism,This subclass comprises research and experimental development in plant nutrition and metabolism.
4,Subclass (Field),RDF1060911,Seed biology,This subclass comprises research and experimental development in seed biology.
4,Subclass (Field),RDF1060912,Plant genetics (phytogenetics),This subclass comprises research and experimental development in plant genetics (phytogenetics).
4,Subclass (Field),RDF1060999,"Plant biology, n.e.c.","This subclass comprises research and experimental development in plant biology, n.e.c."
3,Class,RDF10610,Zoology,This class comprises research and experimental development in zoology.
4,Subclass (Field),RDF1061001,Animal behaviour,This subclass comprises research and experimental development in animal behaviour.
4,Subclass (Field),RDF1061002,Animal cell and molecular biology,This subclass comprises research and experimental development in animal cell and molecular biology.
4,Subclass (Field),RDF1061003,Animal developmental and reproductive biology,This subclass comprises research and experimental development in animal developmental and reproductive biology.
4,Subclass (Field),RDF1061004,Animal immunology,This subclass comprises research and experimental development in animal immunology.
4,Subclass (Field),RDF1061005,Animal physiological ecology,This subclass comprises research and experimental development in animal physiological ecology.
4,Subclass (Field),RDF1061006,Animal structures and functions,This subclass comprises research and experimental development in Animal structures and functions.
4,Subclass (Field),RDF1061007,Invertebrate biology (except insect biology),This subclass comprises research and experimental development in invertebrate biology (except insect biology).
4,Subclass (Field),RDF1061008,Insect biology,This subclass comprises research and experimental development in insect biology.
4,Subclass (Field),RDF1061009,Mammalogy,This subclass comprises research and experimental development in mammalogy.
4,Subclass (Field),RDF1061010,Fish biology,This subclass comprises research and experimental development in fish biology.
4,Subclass (Field),RDF1061011,Bird biology,This subclass comprises research and experimental development in bird biology.
4,Subclass (Field),RDF1061012,Amphibian and reptile biology,This subclass comprises research and experimental development in amphibian and reptile biology.
4,Subclass (Field),RDF1061013,Comparative biomechanics,This subclass comprises research and experimental development in comparative biomechanics.
4,Subclass (Field),RDF1061099,"Zoology, n.e.c.","This subclass comprises research and experimental development in zoology, n.e.c."
3,Class,RDF10611,"Neurosciences, biological and chemical aspects","This class comprises research and experimental development in neurosciences, biological and chemical aspects."
4,Subclass (Field),RDF1061101,Molecular neuroscience,This subclass comprises research and experimental development in molecular neuroscience.
4,Subclass (Field),RDF1061102,Cellular neuroscience,This subclass comprises research and experimental development in cellular neuroscience.
4,Subclass (Field),RDF1061103,Neurogenetics,This subclass comprises research and experimental development in neurogenetics.
4,Subclass (Field),RDF1061104,Animal neurobiology,This subclass comprises research and experimental development in animal neurobiology.
4,Subclass (Field),RDF1061105,Behavioural neuroscience of learning and memory,This subclass comprises research and experimental development in behavioural neuroscience of learning and memory.
4,Subclass (Field),RDF1061106,Behavioural neuroscience of reward and motivation,This subclass comprises research and experimental development in behavioural neuroscience of reward and motivation.
4,Subclass (Field),RDF1061107,Neurocognitive patterns and neural networks,This subclass comprises research and experimental development in neurocognitive patterns and neural networks.
4,Subclass (Field),RDF1061108,Neurophysiology,This subclass comprises research and experimental development in neurophysiology.
4,Subclass (Field),RDF1061199,"Neurosciences, biological and chemical aspects, n.e.c.","This subclass comprises research and experimental development in neurosciences, biological and chemical aspects, n.e.c."
3,Class,RDF10699,Other biological sciences,This class comprises research and experimental development in other biological sciences.
4,Subclass (Field),RDF1069999,Other biological sciences,"This subclass comprises research and experimental development in other biological sciences, n.e.c."
2,Group,RDF107,Other natural sciences,This group comprises research and experimental development in other natural sciences.
3,Class,RDF10799,Other natural sciences,This class comprises research and experimental development in other natural sciences.
4,Subclass (Field),RDF1079999,"Other natural sciences, n.e.c.","This subclass comprises research and experimental development in other natural sciences, n.e.c."
1,Division,RDF20-21,Engineering and technology,"This division comprises research and experimental development in engineering and technology. Engineering and technology refer to scientific disciplines concerned with understanding, exploring or developing the natural world, in the fields of engineering and technology, which include civil engineering; maritime engineering; transport engineering; mining engineering; industrial, systems and processes engineering; electrical engineering, computing engineering, and information engineering; mechanical engineering; chemical engineering; materials engineering and resources engineering; medical and biomedical engineering; environmental and related engineering; environmental biotechnology; industrial biotechnology; nanotechnology; and other engineering and technologies. Research consists of systematic investigation carried by means of experiment or analysis to achieve a scientific or technological advance such as acquiring new knowledge of the underlying foundation of phenomena and observable facts. Experimental development consists of new or substantially improved goods, services, systems, methods or processes."
2,Group,RDF201,"Civil engineering, maritime engineering, transport engineering, and mining engineering","This group comprises research and experimental development in civil engineering, maritime engineering, transport engineering, and mining engineering."
3,Class,RDF20101,Civil engineering,This class comprises research and experimental development in civil engineering.
4,Subclass (Field),RDF2010101,Geotechnical engineering,This subclass comprises research and experimental development in geotechnical engineering.
4,Subclass (Field),RDF2010102,Building construction engineering,This subclass comprises research and experimental development in building construction engineering.
4,Subclass (Field),RDF2010103,"Concrete, cementitious materials and other architectural and construction materials","This subclass comprises research and experimental development in concrete, cementitious materials and other architectural and construction materials."
4,Subclass (Field),RDF2010104,Earthquake engineering,This subclass comprises research and experimental development in earthquake engineering.
4,Subclass (Field),RDF2010105,Infrastructure engineering,This subclass comprises research and experimental development in infrastructure engineering.
4,Subclass (Field),RDF2010106,Structural engineering,This subclass comprises research and experimental development in structural engineering.
4,Subclass (Field),RDF2010107,Water resources infrastructure engineering,This subclass comprises research and experimental development in water resources infrastructure engineering.
4,Subclass (Field),RDF2010108,Hydraulic engineering,This subclass comprises research and experimental development in hydraulic engineering.
4,Subclass (Field),RDF2010109,Geomechanics,This subclass comprises research and experimental development in geomechanics.
4,Subclass (Field),RDF2010199,"Civil engineering, n.e.c.","This subclass comprises research and experimental development in civil engineering, n.e.c."
3,Class,RDF20102,Marine engineering,This class comprises research and experimental development in marine engineering.
4,Subclass (Field),RDF2010201,Naval architecture,This subclass comprises research and experimental development in naval architecture.
4,Subclass (Field),RDF2010202,Ocean engineering,This subclass comprises research and experimental development in ocean engineering.
4,Subclass (Field),RDF2010203,Ship hydrodynamics,This subclass comprises research and experimental development in ship hydrodynamics.
4,Subclass (Field),RDF2010204,Marine platform hydrodynamics engineering,This subclass comprises research and experimental development in marine platform hydrodynamics engineering.
4,Subclass (Field),RDF2010205,Offshore engineering (including marine platform structures),This subclass comprises research and experimental development in offshore engineering (including marine platform structures).
4,Subclass (Field),RDF2010206,Special marine vehicles engineering,This subclass comprises research and experimental development in special marine vehicles engineering.
4,Subclass (Field),RDF2010299,"Marine engineering, n.e.c.","This subclass comprises research and experimental development in marine engineering, n.e.c."
3,Class,RDF20103,Land transportation systems engineering,This class comprises research and experimental development in land transportation systems engineering.
4,Subclass (Field),RDF2010301,Traffic and highway engineering,This subclass comprises research and experimental development in traffic and highway engineering.
4,Subclass (Field),RDF2010302,Railway and airport engineering,This subclass comprises research and experimental development in railway and airport engineering.
4,Subclass (Field),RDF2010303,Public transportation engineering,This subclass comprises research and experimental development in public transportation engineering.
4,Subclass (Field),RDF2010304,Road safety engineering,This subclass comprises research and experimental development in road safety engineering.
4,Subclass (Field),RDF2010305,Transportation demand modelling,This subclass comprises research and experimental development in transportation demand modelling.
4,Subclass (Field),RDF2010306,Pavement materials and structure,This subclass comprises research and experimental development in pavement materials and structure.
4,Subclass (Field),RDF2010307,Transportation systems infrastructure engineering for autonomous vehicles,This subclass comprises research and experimental development in transportation systems infrastructure engineering for autonomous vehicles.
4,Subclass (Field),RDF2010399,"Land transportation systems engineering, n.e.c.","This subclass comprises research and experimental development in land transportation systems engineering, n.e.c."
3,Class,RDF20104,Mining engineering,This class comprises research and experimental development in mining engineering.
4,Subclass (Field),RDF2010499,Mining engineering,This subclass comprises research and experimental development in mining engineering.
2,Group,RDF202,"Industrial, systems and processes engineering","This group comprises research and experimental development in industrial, systems and processes engineering."
3,Class,RDF20201,Human factor engineering,"This class comprises research and experimental development in industrial, systems and processes engineering."
4,Subclass (Field),RDF2020101,Brain-computer interface,This subclass comprises research and experimental development in brain-computer interface.
4,Subclass (Field),RDF2020102,"Physical, environmental and cognitive ergonomics","This subclass comprises research and experimental development in physical, environmental and cognitive ergonomics."
4,Subclass (Field),RDF2020103,Control design,This subclass comprises research and experimental development in control design.
4,Subclass (Field),RDF2020104,Human-computer systems and interface,This subclass comprises research and experimental development in human-computer systems and interface.
4,Subclass (Field),RDF2020105,Assistive technologies,This subclass comprises research and experimental development in assistive technologies.
4,Subclass (Field),RDF2020199,"Human factor engineering, n.e.c.","This subclass comprises research and experimental development in human factor engineering, n.e.c."
3,Class,RDF20202,Systems engineering,This class comprises research and experimental development in systems engineering.
4,Subclass (Field),RDF2020201,Design and analysis of systems,This subclass comprises research and experimental development in design and analysis of systems.
4,Subclass (Field),RDF2020202,Modelling and applications of systems,This subclass comprises research and experimental development in modelling and applications of systems.
4,Subclass (Field),RDF2020203,Intelligent renewable energy systems,This subclass comprises research and experimental development in intelligent renewable energy systems.
4,Subclass (Field),RDF2020204,Intelligent transport systems,This subclass comprises research and experimental development in intelligent transport systems.
4,Subclass (Field),RDF2020205,Production systems engineering,This subclass comprises research and experimental development in production systems engineering.
4,Subclass (Field),RDF2020299,"Systems engineering, n.e.c.","This subclass comprises research and experimental development in systems engineering, n.e.c."
3,Class,RDF20203,Operational research,This class comprises research and experimental development in operational research.
4,Subclass (Field),RDF2020301,Programming in operational research (including linear and nonlinear programming),This subclass comprises research and experimental development in programming in operational research (including linear and nonlinear programming).
4,Subclass (Field),RDF2020302,Combinatorial and network optimization (including programming and metaheuristics),This subclass comprises research and experimental development in combinatorial and network optimization (including programming and metaheuristics).
4,Subclass (Field),RDF2020303,Optimization under uncertainty (including stochastic and robust optimization),This subclass comprises research and experimental development in optimization under uncertainty (including stochastic and robust optimization).
4,Subclass (Field),RDF2020304,Bilevel optimization and game theory,This subclass comprises research and experimental development in bilevel optimization and game theory.
4,Subclass (Field),RDF2020305,Stochastic models (including queueing and simulation),This subclass comprises research and experimental development in stochastic models (including queueing and simulation).
4,Subclass (Field),RDF2020306,Decisions and risk analysis,This subclass comprises research and experimental development in decisions and risk analysis.
4,Subclass (Field),RDF2020307,Quality systems engineering,This subclass comprises research and experimental development in quality systems engineering.
4,Subclass (Field),RDF2020399,"Operational research, n.e.c.","This subclass comprises research and experimental development in operational research, n.e.c."
3,Class,RDF20204,Biosystems and agricultural engineering,This class comprises research and experimental development in biosystems and agricultural engineering.
